Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,17.200000762939453,17.350000381469727,16.5,16.90999984741211,16.798234939575195,52529400
2022-04-01,17.010000228881836,17.149999618530273,16.34000015258789,16.649999618530273,16.539953231811523,64519600
2022-04-04,16.65999984741211,16.729999542236328,16.360000610351562,16.65999984741211,16.54988670349121,51146500
2022-04-05,16.459999084472656,16.6200008392334,15.8100004196167,15.819999694824219,15.715438842773438,91708000
2022-04-06,15.600000381469727,15.800000190734863,15.180000305175781,15.390000343322754,15.28828239440918,102881600
2022-04-07,15.069999694824219,15.210000038146973,14.5600004196167,14.960000038146973,14.861124038696289,101229100
2022-04-08,14.9399995803833,15.4399995803833,14.8100004196167,15.050000190734863,14.950529098510742,74955600
2022-04-11,14.890000343322754,15.770000457763672,14.890000343322754,15.279999732971191,15.179008483886719,66117100
2022-04-12,15.5,15.720000267028809,15.279999732971191,15.359999656677246,15.258479118347168,49138700
2022-04-13,15.3100004196167,15.550000190734863,15.220000267028809,15.510000228881836,15.407488822937012,51871800
2022-04-14,15.5,15.760000228881836,15.460000038146973,15.479999542236328,15.377686500549316,39228500
2022-04-18,15.369999885559082,15.789999961853027,15.369999885559082,15.670000076293945,15.566431045532227,40205800
2022-04-19,15.739999771118164,16.229999542236328,15.739999771118164,16.149999618530273,16.043258666992188,55398300
2022-04-20,16.229999542236328,16.549999237060547,16.010000228881836,16.049999237060547,15.943918228149414,47351500
2022-04-21,16.479999542236328,16.56999969482422,15.609999656677246,15.699999809265137,15.596232414245605,49898500
2022-04-22,15.550000190734863,15.640000343322754,15.0,15.130000114440918,15.029999732971191,56193700
2022-04-25,14.90999984741211,15.199999809265137,14.619999885559082,15.1899995803833,15.1899995803833,58361400
2022-04-26,15.100000381469727,15.140000343322754,14.670000076293945,14.710000038146973,14.710000038146973,60345300
2022-04-27,14.789999961853027,15.100000381469727,14.600000381469727,14.850000381469727,14.850000381469727,65847900
2022-04-28,14.90999984741211,14.989999771118164,13.899999618530273,14.619999885559082,14.619999885559082,131556500
2022-04-29,14.59000015258789,14.970000267028809,14.100000381469727,14.15999984741211,14.15999984741211,82993400
2022-05-02,14.020000457763672,14.289999961853027,13.819999694824219,14.270000457763672,14.270000457763672,64734000
2022-05-03,14.3100004196167,14.75,14.199999809265137,14.5600004196167,14.5600004196167,55734200
2022-05-04,14.510000228881836,15.0,14.260000228881836,14.979999542236328,14.979999542236328,59774900
2022-05-05,14.819999694824219,14.819999694824219,14.335000038146973,14.529999732971191,14.529999732971191,57348797
