Date,Open,High,Low,Close,Adj Close,Volume
2022-03-31,551.0,558.5499877929688,547.0499877929688,547.0599975585938,547.0599975585938,760400
2022-04-01,546.5399780273438,553.4600219726562,542.75,553.4400024414062,553.4400024414062,430600
2022-04-04,553.4400024414062,558.010009765625,543.7100219726562,548.0800170898438,548.0800170898438,379100
2022-04-05,547.5499877929688,551.469970703125,540.1400146484375,545.0399780273438,545.0399780273438,354000
2022-04-06,537.97998046875,538.4500122070312,526.4000244140625,534.9199829101562,534.9199829101562,539700
2022-04-07,532.22998046875,554.969970703125,532.22998046875,551.260009765625,551.260009765625,438500
2022-04-08,548.5900268554688,553.3300170898438,546.3099975585938,547.1199951171875,547.1199951171875,367700
2022-04-11,538.1400146484375,543.8099975585938,513.6500244140625,514.47998046875,514.47998046875,490100
2022-04-12,517.9500122070312,525.9000244140625,492.5199890136719,497.239990234375,497.239990234375,497600
2022-04-13,500.7300109863281,511.7699890136719,496.1700134277344,508.6099853515625,508.6099853515625,451500
2022-04-14,510.29998779296875,511.1499938964844,496.3999938964844,496.7799987792969,496.7799987792969,432400
2022-04-18,492.79998779296875,495.5299987792969,483.4599914550781,486.80999755859375,486.80999755859375,432100
2022-04-19,485.1099853515625,503.8900146484375,485.1099853515625,500.8500061035156,500.8500061035156,367100
2022-04-20,505.7900085449219,517.0399780273438,498.8399963378906,513.3900146484375,513.3900146484375,372900
2022-04-21,516.4099731445312,517.9099731445312,491.2099914550781,492.5199890136719,492.5199890136719,327300
2022-04-22,489.7900085449219,494.4100036621094,472.6700134277344,473.6400146484375,473.6400146484375,503800
2022-04-25,471.6000061035156,475.3999938964844,464.67999267578125,472.2699890136719,472.2699890136719,629500
2022-04-26,467.9100036621094,470.4700012207031,455.3399963378906,455.55999755859375,455.55999755859375,749800
2022-04-27,455.69000244140625,461.3800048828125,445.7200012207031,447.17999267578125,447.17999267578125,770600
2022-04-28,451.7300109863281,453.0899963378906,440.30999755859375,448.3500061035156,448.3500061035156,1019400
2022-04-29,446.4700012207031,454.5899963378906,429.1300048828125,430.4800109863281,430.4800109863281,713500
2022-05-02,429.3699951171875,437.2699890136719,420.6199951171875,432.4599914550781,432.4599914550781,835600
2022-05-03,436.5299987792969,441.010009765625,429.5899963378906,435.9599914550781,435.9599914550781,912800
2022-05-04,382.0,419.20001220703125,381.1099853515625,411.30999755859375,411.30999755859375,2104500
2022-05-05,400.0,401.57000732421875,377.4327087402344,385.1099853515625,385.1099853515625,2104573
